,,,,,,,,,,,,,,,,,
,#,अध्याय,नाम,श्लोक,खोज-शब्द,,,,,,,Ref,Link,श्रेणी,विषय,वक्ता,सारांश 
,1,1,अर्जुन विषाद योग,1,धर्मक्षेत्र,कुरुक्षेत्र,जिज्ञासा,दृष्टि,निरीक्षण,,,1.1,001 1.1.mp4,5,रणनीति,धृतराष्ट्र,युद्धभूमि को धर्मक्षेत्र कहा जाता है जहाँ सही और नैतिक का निर्णय होगा
,2,1,अर्जुन विषाद योग,2,निरीक्षण,तैयारी,शत्रु ,परामर्श,प्रतिवेदन,,,1.2,002 1.2.mp4,1,रणनीति,संजय,"किसी वरिष्ठ और/या अनुभवी व्यक्ति से चर्चा, परामर्श और रिपोर्ट करनी चाहिए"
,3,1,अर्जुन विषाद योग,3,श्रद्धेय,स्वामी,शक्तिशाली ,सारणीबद्ध,सेना,युद्ध,प्रतिभाशाली,1.3,003 1.3.mp4,1,रणनीति,दुर्योधन,"किसी वरिष्ठ और/या अनुभवी व्यक्ति से चर्चा, परामर्श और रिपोर्ट करनी चाहिए"
,4,1,अर्जुन विषाद योग,4,सेना,नायक,शक्तिशाली ,सैन्य,कौशल,योद्धा,,1.4,004 1.4.mp4,2,रणनीति,दुर्योधन,प्रतिद्वन्द्वी को कभी कम मत आंकिए और उनकी शक्ति का ध्यानपूर्वक निरीक्षण कीजिए
,5,1,अर्जुन विषाद योग,5,वीर,राजा,श्रेष्ठ,पुरुषों,,,,1.5,005 1.5.mp4,1,रणनीति,दुर्योधन,प्रतिद्वन्द्वी को कभी कम मत आंकिए और उनकी शक्ति का ध्यानपूर्वक निरीक्षण कीजिए
,6,1,अर्जुन विषाद योग,6,शक्तिशाली ,वीर,योद्धा,,,,,1.6,006 1.6.mp4,1,रणनीति,दुर्योधन,प्रतिद्वन्द्वी को कभी कम मत आंकिए और उनकी शक्ति का ध्यानपूर्वक निरीक्षण कीजिए
,7,1,अर्जुन विषाद योग,7,श्रेष्ठ,ब्रह्म,प्रधानाचार्य,योद्धा,सेनापति ,सेना,जानकारी,1.7,007 1.7.mp4,2,रणनीति,दुर्योधन,कार्य शुरू करने से पहले अपनी शक्तियों का आकलन 
,8,1,अर्जुन विषाद योग,8,विजयी,युद्ध,,,,,,1.8,008 1.8.mp4,1,रणनीति,दुर्योधन,कार्य शुरू करने से पहले अपनी शक्तियों का आकलन 
,9,1,अर्जुन विषाद योग,9,नायक,कुशल,युद्ध,आयुध ,हथियार,प्रक्षेपास्त्र ,दांव,1.9,009 1.9.mp4,3,रणनीति,दुर्योधन,टीम की योग्यताओं और प्रतिबद्धता के स्तर को जानना
,10,1,अर्जुन विषाद योग,10,सेना,संरक्षित,रक्षा ,अजेय,सरल ,विजय ,,1.10,010 1.10.mp4,2,रणनीति,दुर्योधन,सर्वोत्तम संसाधनों के उपरान्त अति-आत्मविश्वास से बचें
,11,1,अर्जुन विषाद योग,11,तत्पर ,पद,सामने,रक्षक,पक्ष,,,1.11,011 1.11.mp4,2,रणनीति,दुर्योधन,अपनी शक्ति की रक्षा के लिए रणनीति बनाएं
